,Top Country,Country Count,Top Region,Region Count,Top District,District Count,Top WineType,WineType Count,Producer,Average Rating,Price,Lat,Long,URL
12,France,4929,Nouvelle-Aquitaine,2042,Creuse,92,pommard 1er cru 'clos des epeneaux' monopole,7,Comte Armand,4.32,455.0,46.0,2.0,https://www.vivino.com/comte-armand-pommard-1er-cru-clos-des-epeneaux-monopole/w/1129143?year=2011&price_id=31003654
13,France,4929,Nouvelle-Aquitaine,2042,Charente,15,graves,13,Château de Chantegrive,4.1,22.49,45.6500048,-0.1060768,https://www.vivino.com/chateau-de-chantegrive-graves/w/1177468?year=2018&price_id=32342642
14,France,4929,Nouvelle-Aquitaine,2042,Deux-Sèvres,4,grands-echezeaux grand cru,2,Joseph Drouhin,4.5,1224.99,46.886546,-0.433614,https://www.vivino.com/joseph-drouhin-grands-echezeaux-grand-cru/w/24111?year=2021&price_id=35849384
15,Spain,1088,La Rioja,375,"Rioja, La",375,reserva,41,Miguel Merino,4.4,58.79,42.2814642,-2.482805,https://www.vivino.com/miguel-merino-reserva/w/1926277?year=2015&price_id=30889434
16,Australia,796,South Australia,643,Barossa,256,shiraz,135,Gibson,4.45,155.13,-34.6134149,138.9385455,https://www.vivino.com/gibson-australian-old-vine-collection-shiraz/w/1751436?year=2016&price_id=24748943
17,Australia,796,South Australia,643,Onkaparinga,188,shiraz,102,Woodstock Wine Estate,4.5,69.76,-35.2172617,138.5416998,https://www.vivino.com/woodstock-winery-and-coterie-the-stocks-shiraz/w/1108877?year=2015&price_id=23868416
18,Australia,796,South Australia,643,Unincorporated SA,91,shiraz,49,Penfolds,4.1080000000000005,999.99,-30.5343665,135.6301212,https://www.vivino.com/penfolds-grange/w/1136930?year=2019&price_id=36022860
19,Australia,796,South Australia,643,Clare and Gilbert Valleys,23,shiraz,16,Jim Barry,4.18,499.79,-33.7890862,138.590557,https://www.vivino.com/jim-barry-the-armagh-shiraz/w/31124?year=2002&price_id=30860489
20,Australia,796,South Australia,643,Wattle Range,23,cabernet sauvignon,18,St Hugo,4.1,54.99,-37.2909105,140.8346628,https://www.vivino.com/st-hugo-cabernet-sauvignon/w/2727?year=2018&price_id=33536966
21,Australia,796,South Australia,643,Alexandrina,23,shiraz,14,Mollydooker,4.340000000000001,279.99,-35.2172617,138.5416998,https://www.vivino.com/mollydooker-winery-velvet-glove-shiraz/w/1381424?year=2017&price_id=30859447
22,Canada,759,British Columbia,374,Thompson--Okanagan,335,pinot noir,53,Martin's Lane,4.366666666666667,109.99,50.4478676,-119.1947855,https://www.vivino.com/martin-s-lane-dehart-vineyard-pinot-noir/w/7247350?year=2018&price_id=36082129
23,Canada,759,British Columbia,374,Nechako,37,merlot,6,Red Rooster,3.6,40.0,50.4478676,-119.1947855,https://www.vivino.com/red-rooster-winery-malbec/w/94134?year=2018&price_id=37222849
24,Canada,759,British Columbia,374,Vancouver Island and Coast / *,2,pinot noir,2,Averill Creek,3.8,32.0,49.5929495,-125.702557,https://www.vivino.com/averill-creek-pinot-noir-vancouver-island/w/1501905?year=2021&price_id=32233868
25,Argentina,559,Mendoza,404,San Rafael,259,malbec,127,Catena Zapata,4.55,237.99,-33.3852648,-69.2771287,https://www.vivino.com/catena-zapata-adrianna-vineyard-fortuna-terrae-malbec-gualtallary/w/5007190?year=2016&price_id=31003698
26,Argentina,559,Mendoza,404,Tupungato,37,malbec,10,Catena Zapata,4.566666666666666,237.99,-33.3852648,-69.2771287,https://www.vivino.com/catena-zapata-adrianna-vineyard-fortuna-terrae-malbec-gualtallary/w/5007190?year=2016&price_id=31003698
27,Argentina,559,Mendoza,404,Luján de Cuyo,87,malbec,43,Achaval-Ferrer,4.5,206.26,-34.787093,-68.4381868,https://www.vivino.com/achaval-ferrer-finca-mirador-mendoza-red-wine-v-qzgkc/w/89025?year=2013&price_id=30870865
28,Argentina,559,Mendoza,404,Tunuyán,14,malbec,5,Catena,4.1,36.4,-33.0349771,-68.8326791,https://www.vivino.com/catena-appellation-lunlunta-old-vines-malbec/w/9597714?year=2019&price_id=30865064
29,Argentina,559,Mendoza,404,San Carlos,6,malbec,2,Catena,4.1,36.4,-33.0349771,-68.8326791,https://www.vivino.com/catena-appellation-lunlunta-old-vines-malbec/w/9597714?year=2019&price_id=30865064
30,Argentina,559,Mendoza,404,Maipú,1,malbec,1,Catena,4.1,36.4,-33.0349771,-68.8326791,https://www.vivino.com/catena-appellation-lunlunta-old-vines-malbec/w/9597714?year=2019&price_id=30865064
31,Chile,310,RegiÃ³n de Coquimbo,257,Provincia de Elqui,257,cabernet sauvignon,76,Miguel Torres Chile,4.2,109.19,-30.0,-71.0,https://www.vivino.com/miguel-torres-chile-manso-de-velasco-cabernet-sauvignon/w/1209679?year=2018&price_id=31006899
32,Portugal,238,BRAGANÃA,126,Torre de Moncorvo,124,tinto,10,Quinta da Romaneira,4.3,50.4,38.7319127,-9.1500843,https://www.vivino.com/quinta-da-romaneira-petit-verdot/w/1884612?year=2015&price_id=30991933
33,Portugal,238,BRAGANÃA,126,Freixo de Espada a Cinta,2,superior (organic vineyards),1,Quinta do Vallado,4.2,76.99,41.1359279,-7.1154392,https://www.vivino.com/quinta-do-vallado-reserva-field-blend/w/1177331?year=2019&price_id=31005978
